ID_1;NAME_1;Prov;Province;knn2008;knn2009;knn2010;knn2011;knn2012;knn2013;knn2014;knn2015;knn2016;knn2017;knn2018;knn2019;knn_2020;inv_2008;inv_2009;inv_2010;inv_2011;inv_2012;inv_2013;inv_2014;inv_2015;inv_2016;inv_2017;inv_2018;inv_2019;inv_2020;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;avg_knn;avg_inv
21;Maluku;MAL;Maluku;1049.233089;1189.650596;1150.116197;1250.640498;1235.330534;1191.278997;1249.461302;1253.458557;1312.496004;1483.164392;1320.514268;1413.081552;1435.661746;1213.083935;1364.221904;1316.822304;1379.544945;1367.247975;1314.576949;1442.863217;1414.752966;1426.159436;1578.276005;1402.831239;1493.062547;1517.190348;1075.680037;1176.414372;1121.599559;1201.385943;1186.049044;1138.052006;1131.955469;1193.881073;1276.717496;1262.000996;1122.301676;1227.337574;1370.778738;1271.852902;1402.356444
22;Nusa Tenggara Barat;WNT;West Nusa Tenggara;859.7344694;948.8724742;914.1621163;1002.288806;991.1586469;973.7660386;1019.460036;1022.259735;1096.645876;1272.009308;1170.195145;1241.893043;1279.249776;894.4769016;988.2423195;943.3732506;1005.183087;997.151795;971.9205277;1018.474072;1021.544221;1099.630903;1291.622113;1202.016745;1295.683427;1322.382388;785.6668484;923.1471638;922.469743;848.4611832;865.9231066;857.2624963;890.7517737;914.0147541;980.3569089;1068.223514;926.8174231;1079.119522;1115.81711;1060.899652;1080.900135
23;Nusa Tenggara Timur;ENT;East Nusa Tenggara;885.1615171;973.1925181;951.4061941;1017.285868;1016.663497;1008.679443;1047.445031;1082.708047;1175.885315;1284.910335;1156.809846;1259.224716;1283.17457;820.8781363;921.2270026;914.1303762;988.2985894;982.3941009;978.0512418;1007.409208;1023.900183;1113.33238;1256.270493;1115.548956;1220.041004;1263.716092;904.8017042;1010.228691;945.7718594;927.5777437;916.0076663;880.4361742;893.6668009;880.70608;918.940855;1037.077268;941.5209203;970.2796228;978.3417281;1087.888223;1046.553674
24;Papua;PAP;Papua;1015.175394;1130.272007;1087.938469;1188.244846;1171.70645;1132.386027;1181.440133;1181.44272;1253.213626;1376.804533;1226.465604;1313.049875;1361.921515;1384.345282;1514.422713;1464.153936;1502.882051;1473.170846;1418.115282;1681.754017;1608.671043;1607.103785;1732.6069;1521.404353;1601.448572;1653.15227;1280.026203;1532.685905;1494.66593;1575.759858;1567.793549;1491.409822;1540.08248;1625.976089;1632.411764;1900.16015;1686.593657;1827.527632;1813.220127;1201.543169;1551.017773
25;Riau;RIU;Riau;942.1913688;1084.370041;1034.734318;1096.623691;1100.056085;1067.994913;1073.875756;1150.215942;1167.504024;1260.225689;1200.663356;1245.053594;1293.44483;905.1475646;1038.34039;991.3766805;1045.898673;1049.597097;1018.800224;1028.477232;1079.088221;1104.111001;1218.621964;1157.730443;1208.490547;1252.411044;1040.420857;1063.082252;1036.17031;1210.06289;1223.530905;1193.673732;1215.345686;1164.723911;1230.570718;1302.847355;1138.999927;1311.966477;1322.858363;1132.073355;1084.468545
26;Sulawesi Barat;WSI;West Sulawesi;907.2945985;1033.408274;998.1538005;1069.777351;1058.4988;1047.766628;1111.422064;1107.157191;1207.3399;1362.368976;1236.554584;1303.961323;1330.717995;891.1281604;1002.044434;975.3352672;1070.873462;1063.002902;1056.156333;1108.005773;1112.190041;1200.801328;1364.617114;1271.479875;1334.512968;1356.846045;986.8588679;1030.777952;1019.450741;1070.628145;1098.543898;1091.409988;1183.069525;1322.121489;1377.350598;1312.290783;1178.392016;1264.232787;1279.340073;1136.49396;1138.999516
27;Sulawesi Selatan;SSI;South Sulawesi;824.5479141;940.3525115;919.950666;976.5266042;977.4822203;975.1323049;1026.451297;1056.714488;1145.369813;1222.163379;1093.596671;1168.953701;1197.899124;902.1106729;1004.818583;979.7277383;1032.419261;1032.2887;1024.362088;1084.403586;1120.596934;1208.665114;1283.048189;1140.021597;1211.998043;1238.469354;876.7985654;926.6615369;905.7370057;1078.385966;1068.65008;1059.669716;1085.323162;1112.447219;1176.345669;1382.603403;1340.173972;1429.043369;1452.372789;1040.395438;1097.148451
28;Sulawesi Tengah;CSI;Central Sulawesi;946.6558461;1065.12851;1033.304482;1123.497847;1114.853763;1094.760343;1158.054399;1177.884762;1296.162156;1435.984615;1295.502303;1391.179592;1417.559565;895.9434265;1015.64356;987.1776726;1078.012119;1072.797437;1058.453052;1119.010731;1147.188493;1256.031714;1376.146942;1247.838322;1335.213358;1362.083226;849.9456076;918.7355471;879.515214;954.278616;953.0112823;963.1473566;968.8527966;993.3245084;1089.355834;1120.341209;1033.47366;1073.682016;1060.913585;1196.194476;1150.118466
29;Sulawesi Tenggara;SEI;Southeast Sulawesi;871.9738232;969.9509151;934.5598915;1026.768842;1023.692246;1008.150117;1041.000514;1074.758612;1171.502043;1263.877866;1166.581756;1245.803353;1257.360763;877.0600328;961.9609076;930.6732267;1030.722547;1029.025232;1017.642769;1051.033418;1090.754501;1178.337989;1275.678104;1186.64715;1264.762361;1276.731352;810.6321916;914.431653;912.3523323;1062.022547;1034.071648;1038.436181;1066.520168;1066.442245;1203.075009;1350.914498;1125.734916;1191.864398;1260.750506;1081.229288;1090.079199
30;Sulawesi Utara;NSI;North Sulawesi;865.6512096;981.2914109;955.4956322;1048.557459;1048.795018;1040.35004;1059.347138;1101.73179;1195.331944;1294.333829;1171.161915;1251.270428;1265.292251;817.1854489;988.6321723;954.1643228;1022.355825;1021.595044;1011.378753;1008.362366;1034.142881;1150.486272;1260.878778;1129.697268;1211.6673;1216.285634;929.6796609;1001.147302;962.3595769;1219.656945;1194.193423;1142.038494;1188.758984;1181.426487;1327.299681;1504.664492;1402.282401;1538.075706;1571.662848;1098.35462;1063.602467
31;Sumatera Barat;WSA;West Sumatera;968.0091598;1082.012238;1034.283896;1117.14064;1122.014735;1097.697554;1115.242148;1183.301316;1209.824396;1281.436985;1205.612677;1268.963293;1307.954785;924.5736855;1020.033896;975.9883362;1053.073627;1057.180565;1037.684882;1057.689137;1087.794513;1125.507001;1222.186402;1138.373067;1213.084117;1240.714853;885.5141108;1077.229072;1038.872841;1086.961198;1091.779006;1015.45789;967.1473345;966.2116648;976.6484896;1175.579577;1109.304003;1168.508284;1235.798629;1153.345679;1088.760314
32;Sumatera Selatan;SSA;South Sumatera;918.7620499;1051.509861;1001.315341;1054.89322;1048.322251;1033.802864;1119.27955;1118.115355;1176.492034;1398.013909;1352.821918;1388.538397;1419.577087;924.7711482;1046.123255;997.7837797;1063.681619;1062.574441;1038.041055;1099.152524;1121.986967;1167.879052;1343.922452;1288.10112;1327.914888;1363.839875;818.6932823;899.6101897;867.8967795;970.5224557;982.4905459;986.7093942;915.5410995;1005.663399;1052.088387;1102.422008;1041.335917;1084.558643;1105.522746;1160.111064;1141.982475
33;Sumatera Utara;NSA;North Sumatera;1001.458972;1113.087219;1066.167746;1135.17058;1146.47618;1111.258808;1129.687516;1180.344222;1204.315461;1309.067064;1225.19981;1293.570985;1342.148597;942.6045523;1030.02898;994.5526431;1054.337757;1071.222606;1039.738148;1031.177646;1021.054513;1061.463939;1208.683298;1094.649096;1197.275588;1230.646616;872.718876;1012.880387;968.3734441;990.7234546;988.7716404;959.3973221;941.0690352;947.1714942;982.6988121;1138.455838;1053.8869;1124.114061;1142.994417;1173.688705;1075.187337
34;Yogyakarta;YOG;Yogyakarta;938.4154307;1054.142488;1015.837149;1086.298724;1091.90231;1064.492476;1138.134882;1142.308571;1244.072334;1540.207273;1467.751562;1529.418769;1571.556306;807.7840624;895.3148301;865.1065319;955.9111763;961.7471278;940.4813313;972.103832;988.93697;1092.608048;1304.779293;1244.957471;1304.085165;1341.80479;784.3815897;851.4906698;839.8493993;904.5968249;899.7995069;914.1270345;942.157939;943.5396254;1087.101548;1189.175691;1000.269197;1072.176708;1161.516454;1221.88756;1051.970818
